metric,value,count
split_domain,Training / bk,40000
split_domain,Training / ins,24000
split_domain,Training / sec,16000
split_domain,Validation / bk,5000
split_domain,Validation / ins,3000
split_domain,Validation / sec,2000
consulting_category,은행,45000
consulting_category,보험,27000
consulting_category,증권,18000
consulting_topic,대출문의(만기/연장/조회등),13317
consulting_topic,계약내용변경/해지,11439
consulting_topic,이자/연체금액,9942
consulting_topic,자동차보험상담,5881
consulting_topic,HTS/MTS,5658
consulting_topic,자동이체조회,4775
consulting_topic,거래내역/잔액조회,4520
consulting_topic,기타계약관련문의,3894
consulting_topic,금융거래한도/비대면한도계좌,3421
consulting_topic,신용거래/담보대출,3420
consulting_topic,"만기,연장/해지,수신",3046
consulting_topic,주식주문,3000
consulting_topic,보험금청구,2983
consulting_topic,자동차사고접수,2803
consulting_topic,환전문의,2571
consulting_topic,증권계좌조회,1859
consulting_topic,부수거래금리감면,1724
consulting_topic,중계요청/착오송금,1684
consulting_topic,절세형금융상품,1589
consulting_topic,계좌관리,1065
consulting_topic,자금이체/계좌제한,895
consulting_topic,해외주문,514
task_category,핵심 금융 용어,76315
task_category,일반 상담,13685
consulting_situation,업무처리,47743
consulting_situation,일반문의,40180
consulting_situation,민원응대,2077
qa_topic,대출문의(만기/연장/조회등),14491
qa_topic,운전자/질병/상해보험등계약내용변경/해지,10653
qa_topic,이자/연체금액,8175
qa_topic,자동차보험가입/해지/변경등,6047
qa_topic,HTS/MTS,5508
qa_topic,자동이체조회,4914
qa_topic,거래내역/잔액조회,4695
qa_topic,기타계약관련문의,4529
qa_topic,금융거래한도/비대면한도계좌,3536
qa_topic,신용거래/담보대출,3440
qa_topic,"만기,연장/해지,수신",3199
qa_topic,주식주문,3057
qa_topic,운전자/질병/상해보험등보험금청구/확인,2960
qa_topic,자동차사고접수,2811
qa_topic,환전문의,2528
qa_topic,중계요청/착오송금,1663
qa_topic,증권계좌조회,1634
qa_topic,절세형금융상품,1619
qa_topic,부수거래금리감면,1619
qa_topic,계좌관리(개설/해지등),1170
qa_topic,자금이체/계좌제한,977
qa_topic,해외주문,566
qa_topic,기타(은행),180
qa_topic,기타(증권),29
core_financial_terms,<NULL>,13685
core_financial_terms,자동이체,7563
core_financial_terms,대출,4850
core_financial_terms,보험,3720
core_financial_terms,만기연장,3016
core_financial_terms,가상계좌,2770
core_financial_terms,해지,2427
core_financial_terms,대출연장,2365
core_financial_terms,자동차보험,2228
core_financial_terms,환전,1897
core_financial_terms,운전자보험,1876
core_financial_terms,보험료,1682
core_financial_terms,수수료,1426
core_financial_terms,입금,1416
core_financial_terms,금리,1133
core_financial_terms,청약,1085
core_financial_terms,보험금,1064
core_financial_terms,연체,1047
core_financial_terms,마이너스통장,967
core_financial_terms,이자,927
core_financial_terms,마일리지,922
core_financial_terms,적금,896
core_financial_terms,한도계좌,792
core_financial_terms,특약,720
core_financial_terms,이체한도,715
core_financial_terms,주식,713
core_financial_terms,상환,710
core_financial_terms,ISA,695
core_financial_terms,인증서,695
core_financial_terms,착오송금,681
core_financial_terms,환급금,660
core_financial_terms,한도,659
core_financial_terms,조기상환,584
core_financial_terms,해지환급금,569
core_financial_terms,출금,547
core_financial_terms,전세대출,540
core_financial_terms,거래내역,539
core_financial_terms,신용대출,500
core_financial_terms,거래한도,494
core_financial_terms,비밀번호,484
core_financial_terms,이체,479
core_financial_terms,이자율,477
core_financial_terms,환급,452
core_financial_terms,담보대출,440
core_financial_terms,매도,429
core_financial_terms,OTP,402
core_financial_terms,연체이자,362
core_financial_terms,유상증자,354
core_financial_terms,IRP,335
core_financial_terms,담보,332
core_financial_terms,보장,324
core_financial_terms,만기,312
core_financial_terms,계좌폐쇄,302
core_financial_terms,송금,289
core_financial_terms,보험증권,272
core_financial_terms,매수,256
core_financial_terms,청구서,252
core_financial_terms,자기부담금,252
core_financial_terms,전세자금대출,236
core_financial_terms,배당금,235
core_financial_terms,위약금,226
core_financial_terms,결제,225
core_financial_terms,손해보험,220
core_financial_terms,암보험,218
core_financial_terms,정기예금,208
core_financial_terms,청약철회,191
core_financial_terms,보험승계,189
core_financial_terms,신용,188
core_financial_terms,환율,183
core_financial_terms,계좌이체,180
core_financial_terms,중계요청,180
core_financial_terms,예수금,174
core_financial_terms,예금,172
core_financial_terms,화재보험,170
core_financial_terms,신주인수권,159
core_financial_terms,연금저축,157
core_financial_terms,치아보험,156
core_financial_terms,계좌번호,154
core_financial_terms,연금,148
core_financial_terms,마일리지특약,144
core_financial_terms,ETF,136
core_financial_terms,증거금,131
core_financial_terms,증권사,129
core_financial_terms,건강보험,129
core_financial_terms,주택담보대출,129
core_financial_terms,자차보험,123
core_financial_terms,퇴직연금,113
core_financial_terms,외화,113
core_financial_terms,대출이자,110
core_financial_terms,운전가입경력,109
core_financial_terms,배당,108
core_financial_terms,양도소득세,103
core_financial_terms,공인인증서,103
core_financial_terms,체크카드,101
core_financial_terms,보험청구,101
core_financial_terms,거래내역서,98
core_financial_terms,보유잔고,96
core_financial_terms,대출금리,94
core_financial_terms,통장,90
core_financial_terms,한도증액,88
core_financial_terms,갱신,87
core_financial_terms,증권계좌,85
core_financial_terms,정산,85
core_financial_terms,대출상환계획,84
core_financial_terms,신용거래,79
core_financial_terms,오픈뱅킹,79
core_financial_terms,종목,76
core_financial_terms,대체거래소,76
core_financial_terms,시세,76
core_financial_terms,연체료,76
core_financial_terms,모바일뱅킹,75
core_financial_terms,여행자보험,73
core_financial_terms,대출한도,73
core_financial_terms,수익자,71
core_financial_terms,환전수수료,69
core_financial_terms,상해보험,68
core_financial_terms,해약환급금,68
core_financial_terms,무상증자,66
core_financial_terms,연체이자율,66
core_financial_terms,인출,62
core_financial_terms,압류,61
core_financial_terms,감면,61
core_financial_terms,원리금,60
core_financial_terms,채권,56
core_financial_terms,담보비율,55
core_financial_terms,신용카드,55
core_financial_terms,비상금대출,55
core_financial_terms,계약자,55
core_financial_terms,신용매수,54
core_financial_terms,말소,54
core_financial_terms,시장가,53
core_financial_terms,보험계약,53
core_financial_terms,고정금리,52
core_financial_terms,인터넷뱅킹,52
core_financial_terms,출금한도,51
core_financial_terms,해약,51
core_financial_terms,간편인증,51
core_financial_terms,주택청약,51
core_financial_terms,보험사,51
core_financial_terms,반대매매,49
core_financial_terms,청약저축,49
core_financial_terms,중도상환,48
core_financial_terms,간병보험,48
core_financial_terms,신용등급,47
core_financial_terms,유상증자청약,46
core_financial_terms,투자,46
core_financial_terms,원금,46
core_financial_terms,RP,45
core_financial_terms,온라인뱅킹,45
core_financial_terms,한도해제,45
core_financial_terms,CMA,44
core_financial_terms,보안카드,44
core_financial_terms,옵션,43
core_financial_terms,선물,43
core_financial_terms,저축,43
core_financial_terms,체결,41
core_financial_terms,펀드,40
core_financial_terms,거래수수료,39
core_financial_terms,공모주,38
core_financial_terms,재투자,38
core_financial_terms,고객확인의무,38
core_financial_terms,금리변동,37
core_financial_terms,자동납부,36
core_financial_terms,계약자변경,36
core_financial_terms,보험수익자,34
core_financial_terms,변동금리,33
core_financial_terms,자동결제,33
core_financial_terms,캐시백,33
core_financial_terms,보증,32
core_financial_terms,원리금균등상환,31
core_financial_terms,금융거래,30
core_financial_terms,블랙박스특약,30
core_financial_terms,원천징수,29
core_financial_terms,결제일,29
core_financial_terms,할부,29
core_financial_terms,단기운전자확대특약,29
core_financial_terms,미수금,28
core_financial_terms,세금,28
core_financial_terms,평가금액,28
core_financial_terms,계좌이전,28
core_financial_terms,만기일,28
core_financial_terms,자동차상해,28
core_financial_terms,실손보험,28
core_financial_terms,공매도,27
core_financial_terms,예약주문,27
core_financial_terms,포인트,27
core_financial_terms,미수,26
core_financial_terms,대물,26
core_financial_terms,감액,25
core_financial_terms,상장폐지,25
core_financial_terms,입금한도,25
core_financial_terms,신용점수,25
core_financial_terms,지급결의서,25
core_financial_terms,대인,25
core_financial_terms,일상배상책임보험,25
core_financial_terms,시간외거래,24
core_financial_terms,전자금융,24
core_financial_terms,외환,24
core_financial_terms,전세,24
core_financial_terms,레버리지,23
core_financial_terms,입출금계좌,23
core_financial_terms,대환,23
core_financial_terms,명의변경,23
core_financial_terms,연말정산,23
core_financial_terms,청년도약계좌,23
core_financial_terms,배정,22
core_financial_terms,대용,22
core_financial_terms,신용조회,22
core_financial_terms,프리마켓,21
core_financial_terms,올커버,21
core_financial_terms,스탁,21
core_financial_terms,청약철회제도,21
core_financial_terms,유상주,20
core_financial_terms,해외주식계좌,20
core_financial_terms,실현손익,20
core_financial_terms,퇴직금,20
core_financial_terms,보증보험,20
core_financial_terms,중도금대출,20
core_financial_terms,피보험자,20
core_financial_terms,만기환급금,20
core_financial_terms,증권거래,19
core_financial_terms,정기적금,19
core_financial_terms,운전자상해종합보험,19
core_financial_terms,자동차등록증,19
core_financial_terms,유상청약,18
core_financial_terms,공제,18
core_financial_terms,금리인하요구권,18
core_financial_terms,연금보험,18
core_financial_terms,상해,18
core_financial_terms,예금만기,18
core_financial_terms,공모주청약,17
core_financial_terms,MTS,17
core_financial_terms,보유,17
core_financial_terms,채무조정,17
core_financial_terms,이자감면,17
core_financial_terms,철회,17
core_financial_terms,종합보험,17
core_financial_terms,면책,17
core_financial_terms,실효,17
core_financial_terms,가입증명서,17
core_financial_terms,대차거래,16
core_financial_terms,연이자,16
core_financial_terms,합병,16
core_financial_terms,해제,16
core_financial_terms,보이스피싱,16
core_financial_terms,대출심사,16
core_financial_terms,담보부족,16
core_financial_terms,책임보험,16
core_financial_terms,수익률,15
core_financial_terms,매도주문,15
core_financial_terms,세액공제,15
core_financial_terms,납입액,15
core_financial_terms,할증보험료,15
core_financial_terms,사망보험금,15
core_financial_terms,예치금,14
core_financial_terms,휴면계좌,14
core_financial_terms,손익,14
core_financial_terms,파생상품,14
core_financial_terms,현재가,14
core_financial_terms,로그인,14
core_financial_terms,배상책임보험,14
core_financial_terms,지정가주문,13
core_financial_terms,양도소득,13
core_financial_terms,종합소득세,13
core_financial_terms,중도해지수수료,13
core_financial_terms,대체결제,13
core_financial_terms,가산금리,13
core_financial_terms,보험약관,13
core_financial_terms,미체결,12
core_financial_terms,평균단가,12
core_financial_terms,대차,12
core_financial_terms,자기차량손해,12
core_financial_terms,명의이전,12
core_financial_terms,배당소득세,11
core_financial_terms,매입,11
core_financial_terms,거래량,11
core_financial_terms,종합매매계좌,11
core_financial_terms,대리인,11
core_financial_terms,홈트레이딩시스템(HTS),11
core_financial_terms,이중출금,11
core_financial_terms,실비,11
core_financial_terms,예금주,11
core_financial_terms,공모,10
core_financial_terms,미수동결,10
core_financial_terms,우선주,10
core_financial_terms,투자설명서,10
core_financial_terms,외화예금,10
core_financial_terms,신용대출이자,10
core_financial_terms,급여이체계좌,10
core_financial_terms,청년저축,10
core_financial_terms,자유적금,10
core_financial_terms,거래정지,9
core_financial_terms,비상장,9
core_financial_terms,대용가격,9
core_financial_terms,자산,9
core_financial_terms,차량가액,9
core_financial_terms,카드취소,9
core_financial_terms,간병인보험,9
core_financial_terms,가족일상배상책임,9
core_financial_terms,입고,8
core_financial_terms,반대의사신청,8
core_financial_terms,정리매매종목,8
core_financial_terms,출금가능금액,8
core_financial_terms,개인연금,8
core_financial_terms,소득세,8
core_financial_terms,신고,8
core_financial_terms,한국거래소,8
core_financial_terms,PIN,8
core_financial_terms,일시납,8
core_financial_terms,망진,8
core_financial_terms,약관대출,8
core_financial_terms,개인보험,8
core_financial_terms,모니터링,8
core_financial_terms,보험상품,8
core_financial_terms,주택보험,8
core_financial_terms,매수주문,7
core_financial_terms,시장가주문,7
core_financial_terms,포트폴리오,7
core_financial_terms,청산,7
core_financial_terms,예탁금,7
core_financial_terms,배당소득,7
core_financial_terms,소수점주식,7
core_financial_terms,금융상품,7
core_financial_terms,전세보증금,7
core_financial_terms,재보험계약,7
core_financial_terms,보험사고,7
core_financial_terms,보장성보험,7
core_financial_terms,후유장해,7
core_financial_terms,갱신형,7
core_financial_terms,사고보험금,7
core_financial_terms,종가,6
core_financial_terms,거래소,6
core_financial_terms,거래제한,6
core_financial_terms,담보유지비율,6
core_financial_terms,환매,6
core_financial_terms,연금펀드,6
core_financial_terms,종목코드,6
core_financial_terms,전자어음,6
core_financial_terms,송금수수료,6
core_financial_terms,등락률,6
core_financial_terms,이동평균선,6
core_financial_terms,대출계약,6
core_financial_terms,신용회복,6
core_financial_terms,대주,6
core_financial_terms,신용공여,6
core_financial_terms,보험료납입방법,6
core_financial_terms,계약실효,6
core_financial_terms,보장개시일,6
core_financial_terms,물적할증,6
core_financial_terms,감가상각,6
core_financial_terms,추징금,6
core_financial_terms,공시,5
core_financial_terms,증자,5
core_financial_terms,대리,5
core_financial_terms,신주인수권부사채,5
core_financial_terms,마진콜,5
core_financial_terms,코넥스,5
core_financial_terms,IRR,5
core_financial_terms,추심,5
core_financial_terms,가압류,5
core_financial_terms,시중은행,5
core_financial_terms,개인정보보호,5
core_financial_terms,보증금,5
core_financial_terms,예금금리,5
core_financial_terms,상환금,5
core_financial_terms,개인신용정보,5
core_financial_terms,연체기록,5
core_financial_terms,현금서비스,5
core_financial_terms,보험계약자,5
core_financial_terms,장해,5
core_financial_terms,월납보험료,5
core_financial_terms,수술특약,5
core_financial_terms,손해보상,5
core_financial_terms,증여세,5
core_financial_terms,세율,4
core_financial_terms,취소주문,4
core_financial_terms,영업일,4
core_financial_terms,평가손익,4
core_financial_terms,주가,4
core_financial_terms,계좌이관,4
core_financial_terms,이연,4
core_financial_terms,선불카드,4
core_financial_terms,일괄매도,4
core_financial_terms,손절,4
core_financial_terms,국채,4
core_financial_terms,카드포인트,4
core_financial_terms,신용비율,4
core_financial_terms,적립금,4
core_financial_terms,복리,4
core_financial_terms,사고부담금,4
core_financial_terms,대물배상,4
core_financial_terms,보험료납입기간,4
core_financial_terms,순보험금,4
core_financial_terms,연납보험료,4
core_financial_terms,운전피보험자,4
core_financial_terms,실효계약해지,4
core_financial_terms,휴면보험금,4
core_financial_terms,실손의료보험,4
core_financial_terms,장기요양보험,4
core_financial_terms,공과금,4
core_financial_terms,무사고증명서,4
core_financial_terms,정정주문,3
core_financial_terms,옵션거래,3
core_financial_terms,의결권,3
core_financial_terms,신주,3
core_financial_terms,단일가매매,3
core_financial_terms,액면분할,3
core_financial_terms,권리락,3
core_financial_terms,청약금,3
core_financial_terms,무상주,3
core_financial_terms,상한가,3
core_financial_terms,DRIP,3
core_financial_terms,주식교환,3
core_financial_terms,시가총액,3
core_financial_terms,애프터마켓,3
core_financial_terms,상속세,3
core_financial_terms,투자신탁회사,3
core_financial_terms,손실,3
core_financial_terms,투자권유,3
core_financial_terms,CME,3
core_financial_terms,환매수수료,3
core_financial_terms,해외채권,3
core_financial_terms,통화,3
core_financial_terms,레버리지형ETF,3
core_financial_terms,역전호가,3
core_financial_terms,코스피,3
core_financial_terms,일반주문,3
core_financial_terms,매매,3
core_financial_terms,만기이전상환,3
core_financial_terms,기준금리,3
core_financial_terms,주민등록증,3
core_financial_terms,계약일,3
core_financial_terms,연체통보,3
core_financial_terms,스미싱,3
core_financial_terms,구상,3
core_financial_terms,손해사정,3
core_financial_terms,무배당보험,3
core_financial_terms,배서,3
core_financial_terms,산재보험,3
core_financial_terms,질병보험,3
core_financial_terms,소급,3
core_financial_terms,보험가입자,3
core_financial_terms,단기운전보험,3
core_financial_terms,차량 말소,3
core_financial_terms,사망보험,3
core_financial_terms,지방세,3
core_financial_terms,금융사기,3
core_financial_terms,거래번호,3
core_financial_terms,기산일,2
core_financial_terms,계약전환,2
core_financial_terms,기준일,2
core_financial_terms,대용금,2
core_financial_terms,체결가,2
core_financial_terms,청산기금,2
core_financial_terms,양도세,2
core_financial_terms,외국납부세액공제,2
core_financial_terms,고객예탁금,2
core_financial_terms,매수주문/매도주문,2
core_financial_terms,해외증권,2
core_financial_terms,개인회생,2
core_financial_terms,퇴직연금보험,2
core_financial_terms,투자신탁,2
core_financial_terms,공탁,2
core_financial_terms,잔금,2
core_financial_terms,FX,2
core_financial_terms,시가,2
core_financial_terms,최소발행금액,2
core_financial_terms,확정급여형퇴직연금,2
core_financial_terms,해외선물거래,2
core_financial_terms,거래세,2
core_financial_terms,코인,2
core_financial_terms,조건부지정가주문,2
core_financial_terms,선물/옵션,2
core_financial_terms,대체거래,2
core_financial_terms,재무제표,2
core_financial_terms,잔량,2
core_financial_terms,회생절차,2
core_financial_terms,자필서명,2
core_financial_terms,부가가치세,2
core_financial_terms,보증인,2
core_financial_terms,부채,2
core_financial_terms,주식매수청구권,2
core_financial_terms,채무불이행,2
core_financial_terms,이자지급일,2
core_financial_terms,금융사기방지,2
core_financial_terms,결제대금,2
core_financial_terms,수익증권,2
core_financial_terms,중도금,2
core_financial_terms,피싱,2
core_financial_terms,어린이보험,2
core_financial_terms,가계약,2
core_financial_terms,초회보험료,2
core_financial_terms,건강진단,2
core_financial_terms,중도증액제도,2
core_financial_terms,공동보험,2
core_financial_terms,저축보험료,2
core_financial_terms,변동이율,2
core_financial_terms,분납보험료,2
core_financial_terms,계약의부활,2
core_financial_terms,사망조사,2
core_financial_terms,납입유예기간,2
core_financial_terms,만료,2
core_financial_terms,미납보험료,2
core_financial_terms,영업보험료,2
core_financial_terms,모바일결제,2
core_financial_terms,계약금,2
core_financial_terms,연금담보대출,2
core_financial_terms,거래중지,2
core_financial_terms,역매매,2
core_financial_terms,사정,2
core_financial_terms,청년도약적금,2
core_financial_terms,비과세소득,2
core_financial_terms,휴면예금,2
core_financial_terms,감액옵션,2
core_financial_terms,대인배상책임보험,2
core_financial_terms,공구보험,2
core_financial_terms,정액보험,2
core_financial_terms,치료관계비,2
core_financial_terms,입원보험,2
core_financial_terms,보험가입금액,2
core_financial_terms,단체보험,2
core_financial_terms,카드승인,2
core_financial_terms,주택연금,2
core_financial_terms,페이,2
core_financial_terms,간편결제,2
core_financial_terms,매출,2
core_financial_terms,개인종합자산관리계좌,2
core_financial_terms,예수,1
core_financial_terms,실권주,1
core_financial_terms,인버스형ETF,1
core_financial_terms,인버스,1
core_financial_terms,코덱스,1
core_financial_terms,유상배정,1
core_financial_terms,사채,1
core_financial_terms,단주,1
core_financial_terms,분리과세,1
core_financial_terms,인수,1
core_financial_terms,고객예탁금이용료,1
core_financial_terms,강제매매,1
core_financial_terms,현금관리계좌(CMA),1
core_financial_terms,주가수익비율,1
core_financial_terms,종합과세제도,1
core_financial_terms,이체요청,1
core_financial_terms,공모펀드,1
core_financial_terms,가산세,1
core_financial_terms,외화대출,1
core_financial_terms,보통예금,1
core_financial_terms,순자산,1
core_financial_terms,서킷브레이커,1
core_financial_terms,리밸런싱,1
core_financial_terms,운용자산,1
core_financial_terms,일괄취소,1
core_financial_terms,매물대,1
core_financial_terms,장외거래,1
core_financial_terms,인버스레버리지,1
core_financial_terms,종합주가지수,1
core_financial_terms,수시매매,1
core_financial_terms,일반공모,1
core_financial_terms,모바일트레이딩시스템(MTS),1
core_financial_terms,매도가능수량,1
core_financial_terms,암호화폐,1
core_financial_terms,골든크로스,1
core_financial_terms,동시호가,1
core_financial_terms,주문가능수량,1
core_financial_terms,정기금,1
core_financial_terms,틱,1
core_financial_terms,고객확인재이행,1
core_financial_terms,위험률,1
core_financial_terms,채권의종류,1
core_financial_terms,거래대금,1
core_financial_terms,임대차계약,1
core_financial_terms,신용평가,1
core_financial_terms,청년임차보증금대출,1
core_financial_terms,신용카드한도,1
core_financial_terms,연금수급,1
core_financial_terms,기업보험,1
core_financial_terms,개인연금신탁,1
core_financial_terms,아포스티유,1
core_financial_terms,경기,1
core_financial_terms,대여종목,1
core_financial_terms,표준이율,1
core_financial_terms,신용융자거래,1
core_financial_terms,DSR,1
core_financial_terms,간접세,1
core_financial_terms,사모펀드,1
core_financial_terms,기관,1
core_financial_terms,고객식별번호,1
core_financial_terms,카드론,1
core_financial_terms,개인신용평점,1
core_financial_terms,가산금,1
core_financial_terms,분산투자,1
core_financial_terms,거치,1
core_financial_terms,사업비,1
core_financial_terms,정기보험,1
core_financial_terms,보험료납입면제,1
core_financial_terms,고용보험,1
core_financial_terms,요양급여,1
core_financial_terms,무효,1
core_financial_terms,설계판매,1
core_financial_terms,공매,1
core_financial_terms,적립보험료,1
core_financial_terms,갱신보험료,1
core_financial_terms,갱신형보험,1
core_financial_terms,일일거래한도,1
core_financial_terms,유지비,1
core_financial_terms,장해등급,1
core_financial_terms,면책금액,1
core_financial_terms,일일운전자보험,1
core_financial_terms,보험기간,1
core_financial_terms,갱신계약,1
core_financial_terms,특별약관,1
core_financial_terms,자기신체사고,1
core_financial_terms,고유,1
core_financial_terms,외국인전용입출금계좌,1
core_financial_terms,청소년미래적금,1
core_financial_terms,해외채권형펀드,1
core_financial_terms,가입자,1
core_financial_terms,명의개서,1
core_financial_terms,신탁,1
core_financial_terms,보험료율,1
core_financial_terms,중복보험,1
core_financial_terms,생명보험,1
core_financial_terms,공제조합,1
core_financial_terms,종신보험,1
core_financial_terms,소수점주문,1
core_financial_terms,결제차단,1
core_financial_terms,리볼빙,1
core_financial_terms,LTV,1
core_financial_terms,예금자보호,1
core_financial_terms,신용카드대금,1
core_financial_terms,세무서,1
core_financial_terms,파킹통장,1
core_financial_terms,적립식펀드,1
core_financial_terms,환매청구권,1
core_financial_terms,재무설계,1
core_financial_terms,통지의무,1
core_financial_terms,소비,1
core_financial_terms,분쟁신청,1
core_financial_terms,전환가격,1
core_financial_terms,커버드콜,1
core_financial_terms,상장사,1
core_financial_terms,개인형퇴직연금,1
core_financial_terms,개인연금저축,1
core_financial_terms,거래로그,1
core_financial_terms,상장종목,1
core_financial_terms,프로그램매매,1
core_financial_terms,내부자,1
core_financial_terms,가처분,1
